url,label,title,all_text,comments,merged,created_time,updated_time,closed_time
https://github.com/OpenMined/PySyft/pull/6642,[],M1 Hot fix,"M1 Hot fix## Description
Added ruamel installation for M1.

## Affected Dependencies
List any dependencies that are required for this change.

## How has this been tested?
- Describe the tests that you ran to verify your changes.
- Provide instructions so we can reproduce.
- List any relevant details for your test configuration.

## Checklist
- [ ] I have followed the [Contribution Guidelines](https://github.com/OpenMined/.github/blob/master/CONTRIBUTING.md) and [Code of Conduct](https://github.com/OpenMined/.github/blob/master/CODE_OF_CONDUCT.md)
- [ ] I have commented my code following the [OpenMined Styleguide](https://github.com/OpenMined/.github/blob/master/STYLEGUIDE.md)
- [ ] I have labeled this PR with the relevant [Type labels](https://github.com/OpenMined/.github/labels?q=Type%3A)
- [ ] My changes are covered by tests",1,False,2022-07-19 09:37:29,2022-07-20 03:25:30,2022-07-20 03:25:30
https://github.com/OpenMined/PySyft/pull/6637,[],Small typo,"Small typo## Description
Simply solved a small typo.

## Affected Dependencies
None.
",1,True,2022-07-15 10:46:48,2022-07-15 10:57:40,2022-07-15 10:57:40
https://github.com/OpenMined/PySyft/pull/6631,[],Trying fixed docker cache filter,"Trying fixed docker cache filter## Description
Trying fixed docker cache filter

## Affected Dependencies
List any dependencies that are required for this change.

## How has this been tested?
- Describe the tests that you ran to verify your changes.
- Provide instructions so we can reproduce.
- List any relevant details for your test configuration.

## Checklist
- [ ] I have followed the [Contribution Guidelines](https://github.com/OpenMined/.github/blob/master/CONTRIBUTING.md) and [Code of Conduct](https://github.com/OpenMined/.github/blob/master/CODE_OF_CONDUCT.md)
- [ ] I have commented my code following the [OpenMined Styleguide](https://github.com/OpenMined/.github/blob/master/STYLEGUIDE.md)
- [ ] I have labeled this PR with the relevant [Type labels](https://github.com/OpenMined/.github/labels?q=Type%3A)
- [ ] My changes are covered by tests",1,False,2022-07-08 04:40:31,2022-07-11 11:03:51,2022-07-11 11:03:51
https://github.com/OpenMined/PySyft/pull/6595,[],[WIP]Fix Incorrect privacy budget spent,"[WIP]Fix Incorrect privacy budget spent## Description
Since , we use FPT , which increases the range of the input tensor, this inturn causes large rdp constants, leading to high privacy budget spent, the PR aims to decode FPT values right before publish.

## Affected Dependencies
`Vectorized Publish`

## How has this been tested?
Existing Tests
",2,False,2022-06-13 10:15:37,2022-06-22 04:42:26,2022-06-22 04:42:26
https://github.com/OpenMined/PySyft/pull/6588,[],Upgrading cypress to fix json-schema security issue,"Upgrading cypress to fix json-schema security issue## Description
Please include a summary of the change, the motivation, and any additional context that will help others understand your PR. If it closes one or more open issues, [please tag them as described here](https://help.github.com/en/github/managing-your-work-on-github/linking-a-pull-request-to-an-issue#linking-a-pull-request-to-an-issue-using-a-keyword).

## Affected Dependencies
List any dependencies that are required for this change.

## How has this been tested?
- Describe the tests that you ran to verify your changes.
- Provide instructions so we can reproduce.
- List any relevant details for your test configuration.

## Checklist
- [ ] I have followed the [Contribution Guidelines](https://github.com/OpenMined/.github/blob/master/CONTRIBUTING.md) and [Code of Conduct](https://github.com/OpenMined/.github/blob/master/CODE_OF_CONDUCT.md)
- [ ] I have commented my code following the [OpenMined Styleguide](https://github.com/OpenMined/.github/blob/master/STYLEGUIDE.md)
- [ ] I have labeled this PR with the relevant [Type labels](https://github.com/OpenMined/.github/labels?q=Type%3A)
- [ ] My changes are covered by tests",1,True,2022-06-08 07:43:34,2022-06-20 06:27:41,2022-06-20 06:27:40
https://github.com/OpenMined/PySyft/pull/6575,[],S.T.E.V.E. - Service for Tracking Errors and Verify Exceptions,"S.T.E.V.E. - Service for Tracking Errors and Verify Exceptions## Description
Please include a summary of the change, the motivation, and any additional context that will help others understand your PR. If it closes one or more open issues, [please tag them as described here](https://help.github.com/en/github/managing-your-work-on-github/linking-a-pull-request-to-an-issue#linking-a-pull-request-to-an-issue-using-a-keyword).

## Affected Dependencies
List any dependencies that are required for this change.

## How has this been tested?
- Describe the tests that you ran to verify your changes.
- Provide instructions so we can reproduce.
- List any relevant details for your test configuration.

## Checklist
- [ ] I have followed the [Contribution Guidelines](https://github.com/OpenMined/.github/blob/master/CONTRIBUTING.md) and [Code of Conduct](https://github.com/OpenMined/.github/blob/master/CODE_OF_CONDUCT.md)
- [ ] I have commented my code following the [OpenMined Styleguide](https://github.com/OpenMined/.github/blob/master/STYLEGUIDE.md)
- [ ] I have labeled this PR with the relevant [Type labels](https://github.com/OpenMined/.github/labels?q=Type%3A)
- [ ] My changes are covered by tests",3,False,2022-06-05 21:35:49,2022-07-08 14:46:32,2022-07-08 14:46:32
https://github.com/OpenMined/PySyft/pull/6573,[],Disable checking all domain health by default,"Disable checking all domain health by defaultnormally when we run network_client.domains it checks the health of all the domains before doing anything. as the number of domains increases (and we also discover some bugs/issues) this seems to be causing problems by default - disabling for now@madhavajay should we re-enable this, since all messages are sent with timeouts or at least have some sort of default timeout?Should we have a larger timeout? since it fetches all datasets so deserialization can take time if there are a large number of datasets uploaded.",1,True,2022-06-03 22:37:22,2022-06-07 07:15:36,2022-06-07 07:15:35
https://github.com/OpenMined/PySyft/pull/6567,[],Fix Network hangs Bug and add timeouts,"Fix Network hangs Bug and add timeouts## Description
Please include a summary of the change, the motivation, and any additional context that will help others understand your PR. If it closes one or more open issues, [please tag them as described here](https://help.github.com/en/github/managing-your-work-on-github/linking-a-pull-request-to-an-issue#linking-a-pull-request-to-an-issue-using-a-keyword).

**Changes: **

- Add a 15 sec timeout to Signed with reply messages in msg_forwarding service.
- Add a timeout on sy.connect.
- add an ExceptionMessage if sy.connect time's out.
- add a retry mechanism to submitting association request, if failed to connect to network via sy.connect.
- Make ReceiveAssociationRequestMessage Without Reply.
- make ImmediateMessageWithoutReply message in syft_route to run async in celeryworker.

[ch-6297]
cc @IonesioJunior 

## Affected Dependencies
List any dependencies that are required for this change.

## How has this been tested?
- Describe the tests that you ran to verify your changes.
- Provide instructions so we can reproduce.
- List any relevant details for your test configuration.

## Checklist
- [x] I have followed the [Contribution Guidelines](https://github.com/OpenMined/.github/blob/master/CONTRIBUTING.md) and [Code of Conduct](https://github.com/OpenMined/.github/blob/master/CODE_OF_CONDUCT.md)
- [x] I have commented my code following the [OpenMined Styleguide](https://github.com/OpenMined/.github/blob/master/STYLEGUIDE.md)
- [x] I have labeled this PR with the relevant [Type labels](https://github.com/OpenMined/.github/labels?q=Type%3A)
- [x] My changes are covered by tests
MAYBE:  Line 479, could we use the same vpn_status variable( in L462) to retrieve host ip , as self.vpn_status makes a new network call ,Yes, good catch. 👍Fixed in this commit: https://github.com/OpenMined/PySyft/pull/6567/commits/7e031150a03d995c3824c66527465d573c896035",2,True,2022-06-01 16:07:51,2022-06-06 09:41:59,2022-06-06 09:41:58
https://github.com/OpenMined/PySyft/pull/6546,[],Patch dep torchcsprng for PySyft 0.5.0 on Apple M1 chips,"Patch dep torchcsprng for PySyft 0.5.0 on Apple M1 chips ## Description
The setup configuration file has been modified to allow the installation of `syft 0.5.0` on Apple with M1 chips.

While testing the change (i.e. _within an environment without neither `torchsnprng` nor `sympc` installed_), I also ended up adjusting the rules for a few packages in the env that caused some clashing leading to failures in all the `syft.test` env in `tox`  (more details below).

#### Dropping `torchsnprng` dependency

The change affects the `setup.cfg` file now including an extra configuration group for `torchcsprng`.
This group has been added to the `torch_ecosystem` requirements, and ignores the installation of `torchcsprng` if `platform_machine=='arm64'` (i.e. Apple M1)

#### Fixing Package versions

Some packages in  in `syft` and `dev` configuration led to version clashing when bluntly installing the latest versions of some packages (e.g. `nbconvert 6.5`, `black 22.0.3`).
Those clashing affected all the corresponding test env in `tox`, ultimately leading to errors in all the (`syft`) tests.

FYI, `tox` `syft.test.*` have been used to test the removal of `torchcsprng` from the deps. 

## Affected Dependencies

None, really. 
In fact, `torchcsprng` is currently used only in `SyMPC` which is only listed as optional requirement for `syft_0.5.0` (via `requirements.unstable.txt`), and not even included when installing `syft==0.5.0` directly from PyPi.

## How has this been tested?

Running and checking that all the `syft.test.*` in `tox` complete successfully. 

_Note_: I don't have Apple M1 chip computer, so I tested it the other way around, that is negating the condition in `setup.cfg` to have environments **without** `torchcsprng` installed.
 
_Take away_: With my surprise this was true also for `syft.test.libs`. 
Therefore, in this PR I also changed `tox.ini` getting rid of the `requirements.unstable.txt` dependency whenever not needed.

## Checklist
- [X ] I have followed the [Contribution Guidelines](https://github.com/OpenMined/.github/blob/master/CONTRIBUTING.md) and [Code of Conduct](https://github.com/OpenMined/.github/blob/master/CODE_OF_CONDUCT.md)
- [ ] I have commented my code following the [OpenMined Styleguide](https://github.com/OpenMined/.github/blob/master/STYLEGUIDE.md)
- [ ] I have labeled this PR with the relevant [Type labels](https://github.com/OpenMined/.github/labels?q=Type%3A)
- [X ] My changes are covered by tests",2,True,2022-05-27 19:03:26,2022-06-08 04:04:57,2022-06-08 04:04:57
https://github.com/OpenMined/PySyft/pull/6530,[],Fixed lazy repeat array subtraction,"Fixed lazy repeat array subtraction## Description
Please include a summary of the change, the motivation, and any additional context that will help others understand your PR. If it closes one or more open issues, [please tag them as described here](https://help.github.com/en/github/managing-your-work-on-github/linking-a-pull-request-to-an-issue#linking-a-pull-request-to-an-issue-using-a-keyword).

## Affected Dependencies
List any dependencies that are required for this change.

## How has this been tested?
- Describe the tests that you ran to verify your changes.
- Provide instructions so we can reproduce.
- List any relevant details for your test configuration.

## Checklist
- [ ] I have followed the [Contribution Guidelines](https://github.com/OpenMined/.github/blob/master/CONTRIBUTING.md) and [Code of Conduct](https://github.com/OpenMined/.github/blob/master/CODE_OF_CONDUCT.md)
- [ ] I have commented my code following the [OpenMined Styleguide](https://github.com/OpenMined/.github/blob/master/STYLEGUIDE.md)
- [ ] I have labeled this PR with the relevant [Type labels](https://github.com/OpenMined/.github/labels?q=Type%3A)
- [ ] My changes are covered by tests",1,True,2022-05-26 16:04:08,2022-05-27 05:11:38,2022-05-27 05:11:37
